2025-06-30 04:14:52,835 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:14:52,837 | ERROR | fastapi | Form data requires "python-multipart" to be installed. 
You can install "python-multipart" with: 

pip install python-multipart

2025-06-30 04:15:05,443 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:15:05,482 | INFO | cortexgrc | Starting CortexGRC Orchestrator v2.0...
2025-06-30 04:15:05,483 | INFO | cortexgrc | Framework service: https://framework.autogrc.cloud
2025-06-30 04:15:05,483 | INFO | cortexgrc | SOC service: https://soc.autogrc.cloud
2025-06-30 04:15:05,485 | INFO | cortexgrc | Supabase configured: False
2025-06-30 04:15:05,485 | INFO | cortexgrc | Framework Mapper JSON API integration enabled
2025-06-30 04:15:06,205 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:15:59,291 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:15:59,327 | INFO | cortexgrc | Starting CortexGRC Orchestrator v2.0...
2025-06-30 04:15:59,327 | INFO | cortexgrc | Framework service: https://framework.autogrc.cloud
2025-06-30 04:15:59,328 | INFO | cortexgrc | SOC service: https://soc.autogrc.cloud
2025-06-30 04:15:59,328 | INFO | cortexgrc | Supabase configured: False
2025-06-30 04:15:59,328 | INFO | cortexgrc | Framework Mapper JSON API integration enabled
2025-06-30 04:16:00,001 | ERROR | cortexgrc | Failed to initialize Supabase: SUPABASE_URL and SUPABASE_ANON_KEY environment variables are required
2025-06-30 04:18:22,784 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:18:22,814 | INFO | cortexgrc | Starting CortexGRC Orchestrator v2.0...
2025-06-30 04:18:22,814 | INFO | cortexgrc | Framework service: https://framework.autogrc.cloud
2025-06-30 04:18:22,814 | INFO | cortexgrc | SOC service: https://soc.autogrc.cloud
2025-06-30 04:18:22,814 | INFO | cortexgrc | Supabase configured: True
2025-06-30 04:18:22,814 | INFO | cortexgrc | Framework Mapper JSON API integration enabled
2025-06-30 04:18:23,667 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:19:16,400 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:19:16,432 | INFO | cortexgrc | Starting CortexGRC Orchestrator v2.0...
2025-06-30 04:19:16,432 | INFO | cortexgrc | Framework service: https://framework.autogrc.cloud
2025-06-30 04:19:16,433 | INFO | cortexgrc | SOC service: https://soc.autogrc.cloud
2025-06-30 04:19:16,433 | INFO | cortexgrc | Supabase configured: True
2025-06-30 04:19:16,433 | INFO | cortexgrc | Framework Mapper JSON API integration enabled
2025-06-30 04:19:17,350 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:19:17,555 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:19:46,568 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:19:46,599 | INFO | cortexgrc | Starting CortexGRC Orchestrator v2.0...
2025-06-30 04:19:46,600 | INFO | cortexgrc | Framework service: https://framework.autogrc.cloud
2025-06-30 04:19:46,600 | INFO | cortexgrc | SOC service: https://soc.autogrc.cloud
2025-06-30 04:19:46,600 | INFO | cortexgrc | Supabase configured: True
2025-06-30 04:19:46,600 | INFO | cortexgrc | Framework Mapper JSON API integration enabled
2025-06-30 04:19:47,521 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:19:47,720 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:21:12,869 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 04:21:30,760 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.CIS+Controls "HTTP/2 200 OK"
2025-06-30 04:21:31,686 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.NIST+Cybersecurity+Framework "HTTP/2 200 OK"
2025-06-30 04:27:14,955 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:27:15,154 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:27:27,029 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:27:27,228 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:27:58,998 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 04:27:59,032 | INFO | cortexgrc | Starting CortexGRC Orchestrator v2.0...
2025-06-30 04:27:59,032 | INFO | cortexgrc | Framework service: https://framework.autogrc.cloud
2025-06-30 04:27:59,032 | INFO | cortexgrc | SOC service: https://soc.autogrc.cloud
2025-06-30 04:27:59,032 | INFO | cortexgrc | Supabase configured: True
